symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQM5,-2,0,0.25,236764820022,236764820060,1,21781.00,21790.50,$19.00,06/09/2025 23:43:53,06/09/2025 23:59:35,15min 42sec
MNQM5,-2,0,0.25,236764820080,236764820108,1,21839.75,21880.00,$80.50,06/10/2025 00:15:50,06/10/2025 00:32:28,16min 38sec
MNQM5,-2,0,0.25,236764820154,236764820120,1,21847.75,21849.00,$2.50,06/10/2025 01:00:13,06/10/2025 00:45:36,14min 37sec
MNQM5,-2,0,0.25,236764820159,236764820165,1,21849.50,21847.00,$(5.00),06/10/2025 01:00:14,06/10/2025 01:00:17,3sec
MNQM5,-2,0,0.25,236764820240,236764820296,1,21863.75,21907.50,$87.50,06/12/2025 23:45:43,06/13/2025 00:25:30,39min 47sec
MNQM5,-2,0,0.25,236764820312,236764820337,1,21773.50,21704.25,$(138.50),06/13/2025 23:40:14,06/14/2025 00:10:27,30min 12sec
MNQM5,-2,0,0.25,236764820363,236764820346,1,21690.75,21648.75,$(84.00),06/14/2025 00:37:30,06/14/2025 00:21:01,16min 28sec
MNQU5,-2,0,0.25,236764820408,236764820389,1,22171.50,22146.00,$(51.00),06/17/2025 00:12:03,06/17/2025 00:10:01,2min 2sec
MNQU5,-2,0,0.25,236764820432,236764820417,1,22210.00,22185.50,$(49.00),06/17/2025 00:46:03,06/17/2025 00:37:59,8min 3sec
MNQU5,-2,0,0.25,236764820461,236764820440,1,22193.75,22194.50,$1.50,06/17/2025 01:01:41,06/17/2025 00:48:10,13min 30sec
MNQU5,-2,0,0.25,236764820473,236764820499,1,22201.50,22202.25,$1.50,06/17/2025 01:10:42,06/17/2025 01:26:11,15min 28sec
MNQU5,-2,0,0.25,236764820544,236764820510,1,22194.50,22195.50,$2.00,06/17/2025 01:50:33,06/17/2025 01:30:50,19min 42sec
MNQU5,-2,0,0.25,236764820595,236764820553,1,22178.00,22183.25,$10.50,06/17/2025 01:59:12,06/17/2025 01:52:27,6min 44sec
MNQU5,-2,0,0.25,236764820646,236764820623,1,22076.00,22044.00,$(64.00),06/17/2025 23:51:59,06/17/2025 23:44:00,7min 59sec
MNQU5,-2,0,0.25,236764820669,236764820681,1,22121.00,22106.75,$(28.50),06/18/2025 00:15:41,06/18/2025 00:18:34,2min 52sec
MNQU5,-2,0,0.25,236764820776,236764820689,1,22103.50,22107.25,$7.50,06/18/2025 00:45:57,06/18/2025 00:19:01,26min 56sec
MNQU5,-2,0,0.25,236764820808,236764820791,1,22094.75,22084.50,$(20.50),06/18/2025 01:01:00,06/18/2025 00:58:22,2min 38sec
MNQU5,-2,0,0.25,236764820819,236764820846,1,22110.00,22112.00,$4.00,06/18/2025 01:08:07,06/18/2025 01:16:08,8min 1sec
MNQU5,-2,0,0.25,236764820862,236764820888,1,22104.00,22083.00,$(42.00),06/20/2025 23:37:39,06/20/2025 23:48:23,10min 44sec
MNQU5,-2,0,0.25,236764820934,236764820896,1,22023.00,22072.00,$98.00,06/21/2025 00:02:28,06/20/2025 23:49:01,13min 26sec
MNQU5,-2,0,0.25,236764820946,236764820955,1,21953.25,21923.50,$(59.50),06/21/2025 00:39:15,06/21/2025 00:40:41,1min 26sec
MNQU5,-2,0,0.25,236764821026,236764820963,1,21819.75,21898.50,$157.50,06/21/2025 01:06:03,06/21/2025 00:41:09,24min 53sec
MNQU5,-2,0,0.25,236764821034,236764821127,1,21852.25,21903.00,$101.50,06/21/2025 01:14:43,06/21/2025 01:38:28,23min 44sec
MNQU5,-2,0,0.25,236764821143,236764821163,1,21911.25,21968.50,$114.50,06/23/2025 23:49:00,06/24/2025 00:10:22,21min 21sec
MNQU5,-2,0,0.25,236764821175,236764821209,1,21979.75,21979.00,$(1.50),06/24/2025 00:14:54,06/24/2025 00:27:59,13min 4sec
MNQU5,-2,0,0.25,236764821235,236764821228,1,21975.50,21965.50,$(20.00),06/24/2025 01:01:51,06/24/2025 01:01:10,40sec
MNQU5,-2,0,0.25,236764821243,236764821256,1,21989.25,21989.25,$0.00,06/24/2025 01:05:28,06/24/2025 01:09:21,3min 53sec
MNQU5,-2,0,0.25,236764821279,236764821270,1,21950.75,21933.25,$(35.00),06/24/2025 01:44:24,06/24/2025 01:42:16,2min 8sec
MNQU5,-2,0,0.25,236764821279,236764821287,1,21950.75,21934.75,$(32.00),06/24/2025 01:44:24,06/24/2025 01:45:49,1min 24sec
MNQU5,-2,0,0.25,236764821295,236764821287,1,21960.50,21934.75,$(51.50),06/24/2025 01:51:49,06/24/2025 01:45:49,6min 
